"","barrioname","codigo_barrio","ano","promedio_val_m2","maximo_val_m2","minimo_val_m2","manzanas_totales"
"1","LA SALLE","8206","2016 ",1808000,2400000,0,16
"2","LA SALLE","8206","2017 ",2541333.33333333,3400000,0,16
"3","LA SALLE","8206","2012 ",1044666.66666667,1400000,0,16
"4","LA SALLE","8206","2014 ",1559226.66666667,2100000,0,16
"5","LA SALLE","8206","2018 ",2636666.66666667,3500000,0,16
"6","LA SALLE","8206","2015 ",1700666.66666667,2300000,0,16
"7","LA SALLE","8206","2013 ",1082000,1450000,0,16
"8","LA SALLE","8206","2019 ",2636666.66666667,3500000,0,16
"9","LA SALLE","8206","2020 ",2636666.66666667,3500000,0,16
"10","MARLY","8212","2016 ",2416666.66666667,3100000,1860000,30
"11","MARLY","8212","2017 ",2974166.66666667,3600000,2090000,30
"12","MARLY","8212","2012 ",1405833.33333333,2e+06,1080000,30
"13","MARLY","8212","2014 ",1908000,2700000,1380000,30
"14","MARLY","8212","2015 ",2278333.33333333,3e+06,1380000,30
"15","MARLY","8212","2018 ",3042033.33333333,3700000,2146000,30
"16","MARLY","8212","2013 ",1632500,2500000,1150000,30
"17","MARLY","8212","2019 ",3153833.33333333,3700000,2146000,30
"18","MARLY","8212","2020 ",3520633.33333333,4200000,2436000,30
"19","CHAPINERO NORTE","8214","2016 ",2669000,5500000,660000,30
"20","CHAPINERO NORTE","8214","2017 ",2951333.33333333,5500000,780000,30
"21","CHAPINERO NORTE","8214","2012 ",1200333.33333333,2e+06,465000,30
"22","CHAPINERO NORTE","8214","2014 ",1857000,5e+06,540000,30
"23","CHAPINERO NORTE","8214","2018 ",3026400,5500000,870000,30
"24","CHAPINERO NORTE","8214","2015 ",2168000,5400000,585000,30
"25","CHAPINERO NORTE","8214","2013 ",1317333.33333333,2500000,375000,30
"26","CHAPINERO NORTE","8214","2019 ",3075600,5500000,930000,30
"27","CHAPINERO NORTE","8214","2020 ",3356733.33333333,5500000,1020000,30
"28","CHICO NORTE","8307","2016 ",4582727.27272727,10200000,1350000,55
"29","CHICO NORTE","8307","2017 ",5015454.54545455,1.1e+07,1470000,55
"30","CHICO NORTE","8307","2012 ",2865909.09090909,5e+06,865000,55
"31","CHICO NORTE","8307","2015 ",4308363.63636364,9800000,1260000,55
"32","CHICO NORTE","8307","2018 ",5634545.45454545,1.2e+07,1620000,55
"33","CHICO NORTE","8307","2014 ",3842727.27272727,9500000,1150000,55
"34","CHICO NORTE","8307","2013 ",3269090.90909091,5e+06,1050000,55
"35","CHICO NORTE","8307","2019 ",6260000,12500000,1800000,55
"36","CHICO NORTE","8307","2020 ",6516341.12727273,1.3e+07,1875000,55
"37","EL CHICO","8308","2016 ",3737119.38367089,5e+06,80000,79
"38","EL CHICO","8308","2017 ",4113237.41607595,5700000,95000,79
"39","EL CHICO","8308","2012 ",2396987.34177215,4e+06,20000,79
"40","EL CHICO","8308","2014 ",3303924.05063291,4200000,80000,79
"41","EL CHICO","8308","2018 ",4528530.10126582,6300000,124878,79
"42","EL CHICO","8308","2015 ",3647726.07594937,4700000,80000,79
"43","EL CHICO","8308","2013 ",2822509.87341772,4250000,20000,79
