OID_;OBJECTID;cod_ct;riesgo;localidad;barmanpre;chip;fecha_ct;año;shape_Leng;Shape_Le_1;Shape_Area
0;3;CT-8692;A;RAFAEL URIBE URIBE;001420031010;AAA0010JPSY;15/01/2020;2020;39,325276705000000;39,325276705000000;68,661454597599999
1;10;CT-8692;A;RAFAEL URIBE URIBE;001420031023;AAA0170PFAF;15/01/2020;2020;37,855221898499998;37,855221898499998;69,518343255700003
2;11;CT-8692;A;RAFAEL URIBE URIBE;001420031022;AAA0010JPRJ;15/01/2020;2020;36,719282125399999;36,719282125399999;73,110222810099998
3;12;CT-8692;A;RAFAEL URIBE URIBE;001420031014;AAA0010JPWW;15/01/2020;2020;36,586306171399997;36,586306171399997;74,014369901400002
4;13;CT-8692;ANM;RAFAEL URIBE URIBE;001420038001;AAA0010JWCX;15/01/2020;2020;33,053172750000002;33,053172750000002;65,920806848500007
5;14;CT-8692;A;RAFAEL URIBE URIBE;001420037025;AAA0243AWWW;15/01/2020;2020;36,463687991699999;36,463687991699999;66,488642552000002
6;46;CT-8692;A;RAFAEL URIBE URIBE;001420039012;AAA0167WDUH;15/01/2020;2020;48,299372362699998;48,299372362699998;149,231670251999986
7;47;CT-8692;A;RAFAEL URIBE URIBE;001420037046;AAA0167WEAF;15/01/2020;2020;28,799890702700001;28,799890702700001;32,463874652700000
8;58;CT-8692;A;RAFAEL URIBE URIBE;001420037045;AAA0167WDYN;15/01/2020;2020;34,154198225400002;34,154198225400002;63,939888042500002
9;59;CT-8692;A;RAFAEL URIBE URIBE;001420037044;AAA0167WEMS;15/01/2020;2020;33,310530587400002;33,310530587400002;60,862556812999998
10;60;CT-8692;A;RAFAEL URIBE URIBE;001420037014;AAA0010JUJH;15/01/2020;2020;30,529645244200001;30,529645244200001;41,246298027300000
11;85;CT-8692;ANM;RAFAEL URIBE URIBE;001420036006;AAA0229MNMS;15/01/2020;2020;39,717877484900001;39,717877484900001;93,863223217300003
