"","barrio_nombre","codigo_barrio","anos","cambio_relativo","diferencia"
"2","CHAPINERO NORTE","8214","2012 a 2020 ","aumento",2156400
"3","CHICO NORTE","8307","2012 a 2020 ","aumento",3650432.03636364
"4","EL CHICO","8308","2012 a 2020 ","aumento",2680364.70886076
"5","CHICO NORTE III SECTOR","8315","2012 a 2020 ","aumento",3282293.12067797
"6","LA CALLEJA","8401","2012 a 2020 ","aumento",2634460.81081081
"7","COUNTRY CLUB","8402","2012 a 2020 ","aumento",2683302
"8","SANTA BARBARA CENTRAL","8415","2012 a 2020 ","aumento",2762561.07142857
"9","MOLINOS NORTE","8416","2012 a 2020 ","aumento",2794477.42857143
"10","SANTA BARBARA OCCIDENTAL","8417","2012 a 2020 ","aumento",2744936.17021277
"11","EL TOBERIN","8501","2012 a 2020 ","aumento",1784305.58701299
"12","LA PRADERA NORTE","8502","2012 a 2020 ","aumento",1678247.03164983
"13","LUSITANIA","6509","2012 a 2020 ","aumento",984718.18
"14","EL CONTADOR","8514","2012 a 2020 ","aumento",1759321.2395
"15","LOS CEDROS","8515","2012 a 2020 ","aumento",1689280.33263889
"16","CAOBOS SALAZAR","8518","2012 a 2020 ","aumento",1736125.02953488
"17","LA URIBE","8525","2012 a 2020 ","aumento",1262232.7
"18","VERBENAL SAN ANTONIO","8537","2012 a 2020 ","aumento",1423181.43965517
"19","BRITALIA","9102","2012 a 2020 ","aumento",1744946.42857143
"20","VICTORIA NORTE","9104","2012 a 2020 ","aumento",1944785.72580645
"21","PRADO PINZON","9105","2012 a 2020 ","aumento",2019889.92537313
"22","NIZA SUR","9109","2012 a 2020 ","aumento",1033379.88392857
"23","PRADO VERANIEGO NORTE","9116","2012 a 2020 ","aumento",1611087.59019426
"24","PRADO VERANIEGO SUR","9117","2012 a 2020 ","aumento",1592687.23780488
"25","NUEVA ZELANDIA","9120","2012 a 2020 ","aumento",1724765.95744681
"26","LAS VILLAS","9122","2012 a 2020 ","aumento",1138484.84848485
"27","PUENTE LARGO","9124","2012 a 2020 ","aumento",1488445.16129032
"28","ESTORIL","9126","2012 a 2020 ","aumento",1376180.98214286
"29","PORTALES DEL NORTE","9135","2012 a 2020 ","aumento",1504897.43589744
"30","LA LOMITA","107112","2012 a 2020 ","aumento",89933.3333333333
"31","EL RINCON","9202","2012 a 2020 ","aumento",1226722.22222222
