"","nombre","code","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif","nos","a","dif"
"2","LA PRADERA NORTE","8502","12a13","aumento","184254.5","13a14","aumento","136361.200833333","14a15","aumento","172851.8825","15a16","aumento","83984.4375","16a17","aumento","186304.080833333","17a18","aumento","70432.8150000002","18a19","aumento","168746.369047619","19a20","aumento","341708.5"
"3","SAN JOSE DE BAVARIA","9113","12a13","aumento","50000","13a14","aumento","50000","14a15","aumento","18004","15a16","aumento","131996","16a17","aumento","50000","17a18","aumento","150000","18a19","aumento","50000","19a20","aumento","1e+05"
"4","TUNA RURAL","107106","12a13","aumento","38439.6","13a14","aumento","62985.245","14a15","aumento","89755.0550000001","15a16","aumento","52797.812","16a17","aumento","101907.529","17a18","aumento","63355.559","18a19","aumento","224657.7","19a20","aumento","131527.494"
"5","CARACOLI","2445","12a13","aumento","25415.8194444445","13a14","aumento","26280.4244444444","14a15","aumento","3329.90888888888","15a16","aumento","60894.7972222222","16a17","aumento","58088.1760416667","17a18","aumento","83084.0684027777","18a19","aumento","24565.6319444445","19a20","aumento","58260.6360524257"
"6","EL DORADO","5664","12a13","disminuyo","-16543.375","13a14","aumento","31005.945","14a15","disminuyo","-3847.19500000001","15a16","aumento","18821.47125","16a17","aumento","39802.8425","17a18","aumento","63709.81125","18a19","aumento","66196.75","19a20","disminuyo","-160588.72"
"7","BOLONIA I","2626","12a13","se mantuvo","0","13a14","aumento","12500","14a15","aumento","37500","15a16","aumento","12500","16a17","aumento","61292.8475","17a18","aumento","336183.4025","18a19","aumento","42498","19a20","aumento","90025.75"
"8","NUEVA ESPERANZA","204106","12a13","se mantuvo","0","13a14","se mantuvo","0","14a15","se mantuvo","0","15a16","se mantuvo","0","16a17","se mantuvo","0","17a18","se mantuvo","0","NA","NA","NA","NA","NA","NA"
"9","LA MARIA","1109","12a13","aumento","55000","13a14","aumento","175000","14a15","aumento","150000","15a16","aumento","1e+05","16a17","aumento","2e+05","17a18","aumento","1e+05","18a19","aumento","50000","19a20","aumento","70000"
"10","LAS GUACAMAYAS I","1355","12a13","aumento","36000","13a14","disminuyo","-137000","14a15","aumento","195006","15a16","aumento","21445.135","16a17","aumento","8048.86499999999","17a18","aumento","115170","18a19","aumento","113144","19a20","disminuyo","-145174"
"11","LA GLORIA OCCIDENTAL","1311","12a13","aumento","123520.058823529","13a14","aumento","44516.3623529412","14a15","aumento","44469.225882353","15a16","aumento","44469.22","16a17","aumento","26319.2505882353","17a18","aumento","20261.7647058824","18a19","aumento","2169.0588235294","19a20","aumento","217586.823529412"
"12","LOS ALPES","1312","12a13","aumento","48054.7941176471","13a14","aumento","49945.205882353","14a15","aumento","55029.4117647058","15a16","aumento","24755.8823529412","16a17","aumento","66470.5882352941","17a18","aumento","38000","18a19","aumento","119176.764705882","19a20","aumento","42427.4836601306"
"13","ALTAMIRA","1315","12a13","aumento","22582.462962963","13a14","aumento","30045.527962963","14a15","aumento","9921.45351851854","15a16","aumento","15799.825","16a17","aumento","6398.76388888891","17a18","aumento","37244.1703703704","18a19","aumento","51546.3148148148","19a20","disminuyo","-3166.29629629629"
"14","SAN PEDRO SUR","1337","12a13","disminuyo","-74.148148148146","13a14","aumento","3518.59259259259","14a15","aumento","20.1666666666642","15a16","aumento","6683.02111111111","16a17","aumento","50960.0540740741","17a18","aumento","17241.7951851852","18a19","aumento","4385.42592592593","19a20","aumento","15945.7592592592"
"15","SANTA CECILIA PUENTE NORTE","8543","12a13","disminuyo","-1421.07894736842","13a14","aumento","12052.6578947368","14a15","aumento","2894.73684210525","15a16","se mantuvo","0","16a17","aumento","329875.698684211","17a18","aumento","40805.1697368421","18a19","aumento","17186.3947368421","19a20","aumento","35597.1486842105"
"16","ALTOS DEL ZUQUE","1331","12a13","aumento","33469.2972972973","13a14","aumento","54697.2348648649","14a15","aumento","21549.0489189189","15a16","aumento","13328.7533783784","16a17","aumento","9793.21378378378","17a18","aumento","35041.140945946","18a19","disminuyo","-32014.6756756757","19a20","aumento","43503.554054054"
"17","ARBOLEDA SUR","1423","12a13","aumento","37781.8583333333","13a14","aumento","77819.595","14a15","aumento","70261.4466666667","15a16","aumento","74112.20975","16a17","aumento","50052.0441666666","17a18","aumento","158277.58775","18a19","aumento","173977.025","19a20","aumento","60113.574863388"
"18","BOSQUE DE PINOS III RURAL","108113","12a13","aumento","456845.666666667","13a14","disminuyo","-39977.0599999998","14a15","aumento","388234.643333333","15a16","aumento","228900.455833333","16a17","aumento","9553.4608333332","17a18","aumento","130085.5","18a19","aumento","565000.041666667","19a20","disminuyo","-156744.1875"
"19","QUINDIO","1318","12a13","aumento","10848.5909090909","13a14","aumento","50108.8772727273","14a15","aumento","5566.57727272727","15a16","aumento","8268.72681818181","16a17","disminuyo","-5216.80954545454","17a18","aumento","38795.9918181818","18a19","aumento","730.409090909088","19a20","disminuyo","-59175.0909090909"
"20","VILLABEL","1332","12a13","aumento","919.100000000006","13a14","disminuyo","-85605.415","14a15","aumento","5948.91500000001","15a16","aumento","3887.14999999999","16a17","aumento","10243.606","17a18","aumento","10597.644","18a19","aumento","22613.5","19a20","disminuyo","-14834.441"
"21","JUAN JOSE RONDON I","1336","12a13","aumento","13161.880952381","13a14","aumento","71320.4036904762","14a15","aumento","27694.8225","15a16","aumento","2796.83726190476","16a17","aumento","18929.381547619","17a18","aumento","17624.7573809524","18a19","aumento","10522.3809523809","19a20","aumento","4303.63095238095"
"22","EL MIRADOR DE LA ESTANCIA","2447","12a13","aumento","2500.025","13a14","aumento","13449.975","14a15","aumento","19250","15a16","aumento","16625","16a17","aumento","22548.5945","17a18","aumento","53494.3555","18a19","aumento","2017.57499999998","19a20","disminuyo","-95345.6555"
"23","ESPINO I","2449","12a13","aumento","2758.62068965517","13a14","aumento","9965.51724137931","14a15","se mantuvo","0","15a16","aumento","12413.7931034483","16a17","aumento","17931.0344827586","17a18","aumento","7741.37931034483","18a19","aumento","3884.48275862068","19a20","aumento","253.448275862072"
"24","QUIBA I","2456","12a13","aumento","34000","13a14","aumento","7466.66666666669","14a15","aumento","38000","15a16","aumento","78000","16a17","aumento","95623.4","17a18","aumento","47288.3666666666","18a19","aumento","109827.966666667","19a20","aumento","18860.2666666667"
"25","LOS TRES REYES I","2441","12a13","aumento","14266.6666666667","13a14","aumento","25590","14a15","aumento","11307.6","15a16","aumento","27587.2181666667","16a17","aumento","59613.3421666667","17a18","aumento","39546.7063333333","18a19","aumento","40439.8166666667","19a20","disminuyo","-23951.2743333334"
"26","EL PLAYON","1420","12a13","aumento","59426.4705882353","13a14","aumento","54416.3641176471","14a15","aumento","44745.1947058823","15a16","aumento","65879.2632352941","16a17","aumento","88057.404264706","17a18","aumento","123075.258970588","18a19","aumento","189050.01916221","19a20","aumento","66795.1426024956"
"27","DIANA TURBAY ARRAYANES","1422","12a13","aumento","1e+05","13a14","aumento","122222.222222222","14a15","aumento","1e+05","15a16","aumento","150000","16a17","aumento","18444.4444444445","17a18","aumento","139111.111111111","18a19","aumento","222777.777777778","19a20","aumento","87811.1111111112"
"28","SAN LUIS","1426","12a13","aumento","90000","13a14","aumento","75000","14a15","aumento","37500","15a16","aumento","187500","16a17","aumento","75000","17a18","aumento","150000","18a19","aumento","187500","19a20","aumento","187500"
"29","LA PAZ","2566","12a13","aumento","7017.89041666666","13a14","aumento","49805.6389583333","14a15","aumento","33229.1666666667","15a16","aumento","33169.7916666667","16a17","aumento","7250.5","17a18","aumento","52909.8958333333","18a19","aumento","33220.0416666666","19a20","aumento","26722.8745833334"
"30","BARRANQUILLITA","2525","12a13","disminuyo","-9886.18181818182","13a14","aumento","17909.6486363636","14a15","aumento","1475.80590909091","15a16","aumento","6731.74409090908","16a17","aumento","2651.47954545455","17a18","aumento","12013.2763636364","18a19","disminuyo","-571.318181818191","19a20","disminuyo","-8396.06999999999"
"31","GIBRALTAR SUR","2554","12a13","aumento","41000","13a14","aumento","15333.3333333333","14a15","aumento","38333.3333333333","15a16","aumento","76666.6666666667","16a17","aumento","1e+05","17a18","aumento","168333.333333333","18a19","aumento","10000","19a20","aumento","28333.3333333333"
"32","CORDILLERA DEL SUR","2561","12a13","aumento","10284.0909090909","13a14","aumento","8204.54545454546","14a15","aumento","5636.36363636365","15a16","aumento","4715.90909090909","16a17","aumento","47254.2394318182","17a18","aumento","34739.1128409091","18a19","disminuyo","-5872.89772727274","19a20","aumento","12277.2727272727"
"33","EL PEDREGAL","2563","12a13","disminuyo","-3894.77083333334","13a14","aumento","11531.61375","14a15","aumento","403.573750000003","15a16","disminuyo","-32.1691666666666","16a17","aumento","1801.04875","17a18","aumento","56223.82875","18a19","aumento","14931.5833333333","19a20","disminuyo","-25103.6766666667"
"34","LA FISCALA NORTE","2597","12a13","aumento","12130.3913043478","13a14","aumento","54783.7265217391","14a15","aumento","28300.9256521739","15a16","aumento","28051.3391304348","16a17","aumento","6188.0836956522","17a18","aumento","51741.8597826087","18a19","aumento","44888","19a20","aumento","29816.89"
"35","ARABIA","2578","12a13","aumento","20133.0217391304","13a14","aumento","16815.1706521739","14a15","aumento","12446.3945652174","15a16","aumento","13548.5715217391","16a17","aumento","76051.5432608696","17a18","aumento","33444.3852173913","18a19","aumento","65863.5652173913","19a20","aumento","13197.3478260869"
"36","ARRAYANES V","2625","12a13","aumento","1422.29245283019","13a14","aumento","37133.991509434","14a15","aumento","17402.0273584906","15a16","aumento","17089.7956603773","16a17","aumento","8990.67264150945","17a18","aumento","12934.1732075472","18a19","aumento","57382.5754716981","19a20","aumento","2680.56726415094"
