"","barrio_nombre","codigo_manzana","anos","cambio_relativo","diferencia","porc","val1","val2"
"2","LA SALLE",8206004,"2012 a 2020 ","aumento",2100000,250,1400000,3500000
"3","MARLY",8212029,"2012 a 2020 ","aumento",2200000,210,2e+06,4200000
"4","CHAPINERO NORTE",8214005,"2012 a 2020 ","aumento",2850000,311.1,1350000,4200000
"5","CHICO NORTE",8307025,"2012 a 2020 ","aumento",3550000,210.9,3200000,6750000
"6","CHICO NORTE",8307051,"2012 a 2020 ","aumento",3200000,206.7,3e+06,6200000
"7","EL CHICO",8308030,"2012 a 2020 ","aumento",2950000,198.3,3e+06,5950000
"8","CHICO NORTE III SECTOR",8315014,"2012 a 2020 ","aumento",5350000,233.8,4e+06,9350000
"9","CHICO NORTE III SECTOR",8315033,"2012 a 2020 ","aumento",3450000,238,2500000,5950000
"10","LA CALLEJA",8401040,"2012 a 2020 ","aumento",2700000,250,1800000,4500000
"11","LA CALLEJA",8401049,"2012 a 2020 ","aumento",2700000,250,1800000,4500000
"12","COUNTRY CLUB",8402002,"2012 a 2020 ","aumento",2700000,250,1800000,4500000
"13","BELLA SUIZA",8404038,"2012 a 2020 ","aumento",2900000,281.2,1600000,4500000
"14","SAN GABRIEL NORTE",8406034,"2012 a 2020 ","aumento",1164000,393.9,396000,1560000
"15","USAQUEN",8407017,"2012 a 2020 ","aumento",2800000,255.6,1800000,4600000
"16","SANTA ANA",8408013,"2012 a 2020 ","aumento",2300000,192,2500000,4800000
"17","SANTA BARBARA CENTRAL",8415019,"2012 a 2020 ","aumento",2650000,243.2,1850000,4500000
"18","MOLINOS NORTE",8416004,"2012 a 2020 ","aumento",3035000,307.2,1465000,4500000
"19","SANTA BARBARA OCCIDENTAL",8417076,"2012 a 2020 ","aumento",3700000,227.6,2900000,6600000
"20","EL TOBERIN",8501036,"2012 a 2020 ","aumento",730000,351.7,290000,1020000
"21","LA PRADERA NORTE",8502004,"2012 a 2020 ","aumento",2200000,500,550000,2750000
"22","LA PRADERA NORTE",8502030,"2012 a 2020 ","aumento",919000,472.1,247000,1166000
"23","LA PRADERA NORTE",8502049,"2012 a 2020 ","aumento",77384.5,170,110500,187884.5
"24","LUSITANIA",6509027,"2012 a 2020 ","aumento",1974036,Inf,0,1974036
"25","LA SALLE",8206015,"2012 a 2019 ","se mantuvo",0,NA,0,0
"26","CEDRO SALAZAR",8508032,"2012 a 2020 ","aumento",1850000,294.7,950000,2800000
"27","CEDRO SALAZAR",8508051,"2012 a 2020 ","aumento",1850000,294.7,950000,2800000
"28","CEDRITOS",8512003,"2012 a 2020 ","aumento",1800000,228.6,1400000,3200000
"29","CEDRITOS",8512004,"2012 a 2020 ","aumento",1900000,246.2,1300000,3200000
"30","LISBOA",8513055,"2012 a 2020 ","aumento",1850000,192.5,2e+06,3850000
"31","EL CONTADOR",8514024,"2012 a 2020 ","aumento",1900000,240.7,1350000,3250000
"32","EL CONTADOR",8514031,"2012 a 2020 ","aumento",1650000,222.2,1350000,3e+06
"33","LOS CEDROS",8515027,"2012 a 2020 ","aumento",1835000,234.4,1365000,3200000
"34","LOS CEDROS",8515053,"2012 a 2020 ","aumento",1850000,237,1350000,3200000
