Columna1;ESTRATO;nivelAmenaza;nivelRiesgo;Val_Ref_promedio;manzanas;hectareas;;;;;;;;;;;;
1;NA;NA;NA;534565.1432;192;61.07907925;;;;;;;;;;;;
2;NA;Cauce de rio o quebrada;NA;86388.85714;7;7.112873567;;;;;;;;;;;;
3;NA;Amenaza Alta;NA;69277.47692;65;26.40335219;;;;;;;;;;;;
4;NA;Amenaza Baja;NA;556314.8478;23;3.642186212;;;;;;;;;;;;
5;NA;Amenaza Media;NA;225896.3333;45;13.66989869;;;;;;;;;;;;
6;NA;Amenaza Media;riesgo medio;0;3;0.57467738;;Estrato;Manzanas;Hectareas;Valor ref promedio;% manzanas sin amenaza;% Manzanas en amenaza Alta;% Manzanas en amenaza Media;% Manzanas en amenaza Baja;total;;
7;0;NA;NA;1239604.405;3141;4457.22263;;0 o si estrato;5819;9519.729715;661250.37;0.579996563;0.133699948;0.198487713;0.087815776;1;;
8;0;Cauce de rio o quebrada;NA;779900.8906;32;115.5261736;;1;6580;2353.282601;466420.9925;0.062765957;0.266717325;0.632674772;0.037841945;1;;
9;0;zonas de amortiguamiento;NA;8.00E+05;1;11.21913111;;2;15387;6260.693737;1142825.073;0.458958861;0.060895561;0.32780919;0.152336388;1;;
10;0;Amenaza Alta;NA;347271.2115;636;1861.34138;;3;11830;6725.164665;1916062.229;0.903465765;0.004480135;0.032290786;0.059763314;1;;
11;0;Amenaza Baja;NA;939280.1983;479;1544.047638;;4;2381;2404.832881;2414256.445;0.859722806;0.018899622;0.054598908;0.066778664;1;;
12;0;Amenaza Media;NA;436488.9879;1072;818.1014044;;5;1037;1343.96063;3038942.097;0.797492768;0.027965284;0.051108968;0.12343298;1;;
13;0;Amenaza Alta;riesgo ARNM;91392.3125;16;29.56813724;;6;868;1306.577805;4351974.706;0.524193548;0.10483871;0.253456221;0.117511521;1;;
14;0;Amenaza Media;riesgo ARNM;450000;1;5.219544495;;;;;;;;;;;;
15;0;Amenaza Alta;riesgo alto;355099.375;8;1.316228169;;;;;;;;;;;;
16;0;Amenaza Baja;riesgo bajo;833167.6429;7;47.35216799;;Estrato;Manzanas;Hectareas;mean reference value;% blocks without hazards;% blocks with low hazard;% blocks with medium hazard;% blocks with high hazard;TOTAL;;
17;0;Amenaza Media;riesgo bajo;317000;4;3.22654184;;0 o si estrato;5819;9519.729715;661250.37;0.579996563;0.087815776;0.198487713;0.133699948;1;;
18;0;NA;riesgo medio;1384838.25;2;1.525829129;;1;6580;2353.282601;466420.9925;0.062765957;0.037841945;0.632674772;0.266717325;1;;
19;0;Amenaza Alta;riesgo medio;467875.0472;53;272.4286553;;2;15387;6260.693737;1142825.073;0.458958861;0.152336388;0.32780919;0.060895561;1;;
20;0;Amenaza Baja;riesgo medio;395000;2;204.65471;;3;11830;6725.164665;1916062.229;0.903465765;0.059763314;0.032290786;0.004480135;1;;
21;0;Amenaza Media;riesgo medio;489197.1;30;34.49747688;;4;2381;2404.832881;2414256.445;0.859722806;0.066778664;0.054598908;0.018899622;1;;
22;1;NA;NA;1123400.977;389;92.29905058;;5;1037;1343.96063;3038942.097;0.797492768;0.12343298;0.051108968;0.027965284;1;;
23;1;Amenaza Alta;NA;276009.7107;1170;579.1785249;;6;868;1306.577805;4351974.706;0.524193548;0.117511521;0.253456221;0.10483871;1;;
24;1;Amenaza Baja;NA;481422.5933;209;53.46502402;;;;;;;;;;;;
25;1;Amenaza Media;NA;489672.9176;3351;668.5452919;;;;;;;;;;;;
26;1;Amenaza Alta;riesgo ARNM;214847.3474;213;539.481718;;;;;;;;;;;;
27;1;Amenaza Media;riesgo ARNM;326491.1538;26;5.740200083;;;;;;;;;;;;
28;1;Amenaza Alta;riesgo SPPR;11272;1;0.032672288;;;;;;;;;;;;
29;1;Amenaza Alta;riesgo alto;361339.6667;30;43.52991453;;;;;;;;;;;;
30;1;Amenaza Baja;riesgo alto;4.00E+05;1;0.186682665;;;;;;;;;;;;
31;1;Amenaza Media;riesgo alto;342688.7903;31;8.09042394;;;;;;;;;;;;
32;1;Amenaza Alta;riesgo bajo;630000;2;0.451165372;;;;;;;;;;;;
33;1;Amenaza Baja;riesgo bajo;515166.6667;18;2.704098883;;;;;;;;;;;;
