;barrio_nombre;codigo_barrio;anos;cambio_relativo;diferencia
2;LA SALLE;8206;12a20;aumento;1592000
3;MARLY;8212;12a20;aumento;2114800
4;CHAPINERO NORTE;8214;12a20;aumento;2156400
5;CHICO NORTE;8307;12a20;aumento;3650432
6;EL CHICO;8308;12a20;aumento;2680365
7;CHICO NORTE III SECTOR;8315;12a20;aumento;3282293
8;LA CALLEJA;8401;12a20;aumento;2634461
9;COUNTRY CLUB;8402;12a20;aumento;2683302
10;BELLA SUIZA;8404;12a20;aumento;3090833
11;SAN GABRIEL NORTE;8406;12a20;aumento;1318529
12;USAQUEN;8407;12a20;aumento;2476800
13;SANTA ANA;8408;12a20;aumento;1498977
14;SANTA BARBARA CENTRAL;8415;12a20;aumento;2762561
15;MOLINOS NORTE;8416;12a20;aumento;2794477
16;SANTA BARBARA OCCIDENTAL;8417;12a20;aumento;2744936
17;EL TOBERIN;8501;12a20;aumento;1784306
18;LA PRADERA NORTE;8502;12a20;aumento;1678247
19;LUSITANIA;6509;12a20;aumento;984718
20;CEDRO SALAZAR;8508;12a20;aumento;1858419
21;CEDRITOS;8512;12a20;aumento;1710633
22;LISBOA;8513;12a20;aumento;1388283
23;EL CONTADOR;8514;12a20;aumento;1759321
24;LOS CEDROS;8515;12a20;aumento;1689280
25;CAOBOS SALAZAR;8518;12a20;aumento;1736125
26;LA URIBE;8525;12a20;aumento;1262233
27;VERBENAL SAN ANTONIO;8537;12a20;aumento;1423181
28;BRITALIA;9102;12a20;aumento;1744946
29;VICTORIA NORTE;9104;12a20;aumento;1944786
30;PRADO PINZON;9105;12a20;aumento;2019890
31;NIZA SUR;9109;12a20;aumento;1033380
32;SOCIEGO;1205;12a20;aumento;1043320
33;BELLO HORIZONTE;1304;12a20;aumento;958489
34;SAN PEDRO;1306;12a20;aumento;653421
35;LA VICTORIA;1310;12a20;aumento;662335
36;MONACO;9111;12a20;aumento;1197446
37;SAN JOSE DE BAVARIA;9113;12a20;aumento;589810
38;IBERIA;9115;12a20;aumento;1546655
39;PRADO VERANIEGO NORTE;9116;12a20;aumento;1611088
40;PRADO VERANIEGO SUR;9117;12a20;aumento;1592687
41;NUEVA ZELANDIA;9120;12a20;aumento;1724766
42;CLUB DE LOS LAGARTOS;9121;12a20;aumento;951725
43;LAS VILLAS;9122;12a20;aumento;1138485
44;PUENTE LARGO;9124;12a20;aumento;1488445
45;ESTORIL;9126;12a20;aumento;1376181
46;ESCUELA DE CARABINEROS;9132;12a20;aumento;1316154
47;PORTALES DEL NORTE;9135;12a20;aumento;1504897
48;LA LOMITA;107112;12a20;aumento;89933
49;LOS NARANJOS;9201;12a20;aumento;902116
50;EL RINCON;9202;12a20;aumento;1226722
51;PUERTA DEL SOL;9203;12a20;aumento;1682750
52;EL RINCON NORTE;9204;12a20;aumento;1391250
53;COSTA AZUL;9208;12a20;aumento;1738500
54;VILLA MARIA;9209;12a20;aumento;1741451
55;EL POA;9211;12a20;aumento;1584242
56;TUNA ALTA;9214;12a20;aumento;720262
57;TUNA RURAL;107106;12a20;aumento;765426
58;TTES DE COLOMBIA;9223;12a20;aumento;1490593
59;TIBABUYES UNIVERSAL;9225;12a20;aumento;1350736
60;LECH WALESA;9227;12a20;aumento;1485983
61;LOMBARDIA;9228;12a20;aumento;1695495
62;SUCRE;8112;12a20;aumento;1977532
63;CARACOLI;2445;12a20;aumento;358375
64;LA CORUNA;2420;12a20;aumento;1541701
65;EL MOCHUELO III;104128;12a20;aumento;143383
66;LOS CEREZOS;5616;12a20;aumento;1199087
67;GARCES NAVAS ORIENTAL;5628;12a20;aumento;1746337
68;PROVIVIENDA OCCIDENTAL;4505;12a20;aumento;1564260
